Invoice_ID,Age,Gender,Product_Category,Unit_Price,Quantity,Total_Amount,City
1001,25.0,male,electronics,500.0,1.0,500,kathmandu
1002,30.0,female,clothing,50.0,2.0,100,pokhara
1003,22.0,male,groceries,20.0,5.0,100,lalitpur
1004,28.0,male,electronics,75.0,1.0,500,kathmandu
1005,35.0,female,clothing,60.0,2.0,120,unknown
1006,40.0,male,groceries,15.0,10.0,150,bhaktapur
1007,29.0,female,electronics,700.0,1.0,700,kathmandu
1008,31.0,male,clothing,80.0,2.0,160,pokhara
1009,32.795918367346935,female,groceries,25.0,4.0,100,lalitpur
1010,45.0,male,electronics,1000.0,1.0,1000,kathmandu
1011,27.0,female,clothing,55.0,3.0,165,pokhara
1012,33.0,male,groceries,18.0,6.0,108,bhaktapur
1013,26.0,female,electronics,650.0,1.0,650,kathmandu
1014,38.0,male,clothing,75.0,2.0,150,pokhara
1015,41.0,female,groceries,22.0,5.0,110,lalitpur
1016,23.0,male,electronics,480.0,1.0,480,kathmandu
1017,36.0,female,clothing,65.0,2.0,130,pokhara
1018,32.0,male,groceries,19.0,7.0,133,bhaktapur
1019,29.0,female,electronics,720.0,1.0,720,kathmandu
1020,34.0,male,clothing,85.0,2.0,170,pokhara
1021,37.0,female,groceries,21.0,6.0,126,lalitpur
1022,24.0,male,electronics,510.0,1.0,510,kathmandu
1023,28.0,female,clothing,60.0,3.0,180,pokhara
1024,35.0,male,groceries,17.0,5.0,85,bhaktapur
1025,42.0,female,electronics,1100.0,1.0,1100,kathmandu
1026,39.0,male,clothing,90.0,2.0,180,pokhara
1027,21.0,female,groceries,23.0,4.0,92,lalitpur
1028,44.0,male,electronics,1200.0,1.0,1200,kathmandu
1029,26.0,female,clothing,70.0,2.0,140,pokhara
1030,31.0,male,groceries,20.0,6.0,120,bhaktapur
1031,27.0,female,electronics,680.0,1.0,680,kathmandu
1032,33.0,male,clothing,95.0,2.0,190,pokhara
1033,36.0,female,groceries,24.0,5.0,120,lalitpur
1034,29.0,male,electronics,750.0,1.0,750,kathmandu
1035,40.0,female,clothing,85.0,2.0,170,pokhara
1036,22.0,male,groceries,18.0,6.0,108,bhaktapur
1037,35.0,female,electronics,900.0,1.0,900,kathmandu
1038,38.0,male,clothing,100.0,2.0,200,pokhara
1039,41.0,female,groceries,26.0,5.0,130,lalitpur
1040,30.0,male,electronics,550.0,1.0,550,kathmandu
1041,34.0,female,clothing,65.0,2.0,130,pokhara
1042,37.0,male,groceries,19.0,6.0,114,bhaktapur
1043,28.0,female,electronics,720.0,1.0,720,kathmandu
1044,32.0,male,clothing,80.0,2.0,160,pokhara
1045,45.0,female,groceries,27.0,5.0,135,lalitpur
1046,23.0,male,electronics,480.0,1.0,480,kathmandu
1047,36.0,female,clothing,70.0,2.0,140,pokhara
1048,31.0,male,groceries,22.0,6.0,132,bhaktapur
1049,29.0,female,electronics,760.0,1.0,760,kathmandu
1050,50.0,male,electronics,5000.0,1.0,5000,kathmandu
